Date,Exercise,Category,Weight,Weight Unit,Reps,Distance,Distance Unit,Time,Comment
2022-09-14,Barbell Overhead Press,Shoulders,45.0,lbs,10,,,,""
2022-09-14,Barbell Overhead Press,Shoulders,65.0,lbs,10,,,,""
2022-09-14,Barbell Overhead Press,Shoulders,75.0,lbs,10,,,,""
2022-09-14,Barbell Overhead Press,Shoulders,75.0,lbs,10,,,,""
2022-09-14,Barbell Overhead Press,Shoulders,85.0,lbs,5,,,,""
2022-09-14,Barbell Overhead Press,Shoulders,75.0,lbs,8,,,,""
2022-09-14,Barbell Overhead Press,Shoulders,65.0,lbs,7,,,,""
2022-09-14,Barbell Overhead Press,Shoulders,45.0,lbs,10,,,,""
2022-09-14,Barbell Squat,Legs,45.0,lbs,10,,,,""
2022-09-14,Barbell Squat,Legs,95.0,lbs,10,,,,""
2022-09-14,Barbell Squat,Legs,115.0,lbs,10,,,,""
2022-09-14,Barbell Squat,Legs,135.0,lbs,10,,,,""
2022-09-14,Barbell Squat,Legs,95.0,lbs,10,,,,""
2022-09-14,Barbell Squat,Legs,45.0,lbs,10,,,,""
2022-09-14,Barbell Squat,Legs,155.0,lbs,4,,,,""
2022-09-14,Flat Barbell Bench Press,Chest,45.0,lbs,10,,,,""
2022-09-14,Flat Barbell Bench Press,Chest,65.0,lbs,10,,,,""
2022-09-14,Flat Barbell Bench Press,Chest,95.0,lbs,10,,,,""
2022-09-14,Flat Barbell Bench Press,Chest,115.0,lbs,10,,,,""
2022-09-14,Flat Barbell Bench Press,Chest,135.0,lbs,10,,,,""
2022-09-14,Flat Barbell Bench Press,Chest,155.0,lbs,5,,,,""
2022-09-14,Flat Barbell Bench Press,Chest,95.0,lbs,12,,,,""
2022-09-14,Flat Barbell Bench Press,Chest,65.0,lbs,15,,,,""
2022-09-14,Dumbbell Curl,Biceps,20.0,lbs,10,,,,""
2022-09-14,Dumbbell Curl,Biceps,25.0,lbs,10,,,,""
2022-09-14,Dumbbell Curl,Biceps,35.0,lbs,5,,,,""
2022-09-14,Dumbbell Curl,Biceps,30.0,lbs,10,,,,""
2022-09-14,Dumbbell Curl,Biceps,35.0,lbs,10,,,,""
2022-09-14,Dumbbell Curl,Biceps,40.0,lbs,1,,,,""
2022-09-14,Dumbbell Curl,Biceps,25.0,lbs,10,,,,""
2022-09-14,Lateral Dumbbell Raise,Shoulders,15.0,lbs,10,,,,""
2022-09-14,Lateral Dumbbell Raise,Shoulders,15.0,lbs,10,,,,""
2022-09-14,Toe Touch Abs,Abs,1.0,lbs,10,,,,""
2022-09-22,Lat Pulldown,Back,20.0,lbs,4,,,,""
2022-09-22,Lat Pulldown,Back,50.0,lbs,20,,,,""
2022-09-22,Lat Pulldown,Back,70.0,lbs,12,,,,""
2022-09-22,Lat Pulldown,Back,90.0,lbs,10,,,,""
2022-09-22,Lat Pulldown,Back,110.0,lbs,10,,,,""
2022-09-22,Lat Pulldown,Back,130.0,lbs,6,,,,""
2022-09-22,Lat Pulldown,Back,120.0,lbs,6,,,,""
2022-09-22,Lat Pulldown,Back,100.0,lbs,12,,,,""
2022-09-22,Lat Pulldown,Back,80.0,lbs,15,,,,""
2022-09-22,Lat Pulldown,Back,60.0,lbs,22,,,,""
2022-09-22,Lat Pulldown,Back,40.0,lbs,40,,,,""
2022-09-22,Flat Dumbbell Bench Press,Chest,50.0,lbs,22,,,,""
2022-09-22,Flat Dumbbell Bench Press,Chest,70.0,lbs,15,,,,""
2022-09-22,Flat Dumbbell Bench Press,Chest,80.0,lbs,12,,,,""
2022-09-22,Flat Dumbbell Bench Press,Chest,100.0,lbs,10,,,,""
2022-09-22,Flat Dumbbell Bench Press,Chest,110.0,lbs,10,,,,""
2022-09-22,Flat Dumbbell Bench Press,Chest,110.0,lbs,11,,,,""
2022-09-22,Flat Dumbbell Bench Press,Chest,130.0,lbs,3,,,,""
2022-09-22,Flat Dumbbell Bench Press,Chest,100.0,lbs,7,,,,""
2022-09-22,Flat Dumbbell Bench Press,Chest,80.0,lbs,10,,,,""
2022-09-22,Flat Dumbbell Bench Press,Chest,55.0,lbs,15,,,,""
2022-09-22,Toe Touch Abs,Abs,1.0,lbs,10,,,,""
2022-09-22,Toe Touch Abs,Abs,1.0,lbs,10,,,,""
2022-09-22,Toe Touch Abs,Abs,1.0,lbs,10,,,,""
2022-09-22,Barbell Squat,Legs,45.0,lbs,10,,,,""
2022-09-22,Barbell Squat,Legs,95.0,lbs,10,,,,""
2022-09-22,Barbell Squat,Legs,115.0,lbs,10,,,,""
2022-09-22,Barbell Squat,Legs,135.0,lbs,11,,,,""
2022-09-22,Barbell Squat,Legs,155.0,lbs,7,,,,""
2022-09-22,Barbell Overhead Press,Shoulders,45.0,lbs,10,,,,""
2022-09-22,Barbell Overhead Press,Shoulders,55.0,lbs,10,,,,""
2022-09-22,Barbell Overhead Press,Shoulders,65.0,lbs,10,,,,""
2022-09-25,Barbell Overhead Press,Shoulders,45.0,lbs,10,,,,""
2022-09-25,Barbell Overhead Press,Shoulders,55.0,lbs,10,,,,""
2022-09-25,Barbell Overhead Press,Shoulders,65.0,lbs,10,,,,""
2022-09-25,Barbell Overhead Press,Shoulders,75.0,lbs,10,,,,""
2022-09-25,Barbell Overhead Press,Shoulders,85.0,lbs,8,,,,""
2022-09-25,Barbell Overhead Press,Shoulders,95.0,lbs,1,,,,""
2022-09-25,Barbell Overhead Press,Shoulders,85.0,lbs,4,,,,""
2022-09-25,Barbell Overhead Press,Shoulders,65.0,lbs,15,,,,""
2022-09-25,Barbell Overhead Press,Shoulders,45.0,lbs,20,,,,""
2022-09-25,Pistol Squat,Legs,1.0,lbs,5,,,,""
2022-09-25,Parallel Bar Triceps Dip,Triceps,1.0,lbs,10,,,,""
2022-09-25,Parallel Bar Triceps Dip,Triceps,1.0,lbs,10,,,,""
2022-09-25,Parallel Bar Triceps Dip,Triceps,1.0,lbs,12,,,,""
2022-09-25,Dumbbell Curl,Biceps,20.0,lbs,20,,,,""
2022-09-25,Dumbbell Curl,Biceps,25.0,lbs,15,,,,""
2022-09-25,Pistol Squat,Legs,1.0,lbs,1,,,,""
2022-09-25,Dumbbell Curl,Biceps,30.0,lbs,8,,,,""
2022-09-25,Dumbbell Curl,Biceps,35.0,lbs,5,,,,""
2022-09-25,Dumbbell Curl,Biceps,40.0,lbs,2,,,,""
2022-09-25,Dumbbell Curl,Biceps,20.0,lbs,13,,,,""
2022-09-25,Toe Touch Abs,Abs,1.0,lbs,20,,,,""
2022-09-25,Toe Touch Abs,Abs,1.0,lbs,15,,,,""
2022-09-25,Plank,Abs,1.0,lbs,,,,0:01:00,""
2022-09-25,Pistol Squat,Legs,1.0,lbs,5,,,,""
2022-09-26,Climbing,Body,,,,1.0,m,2:00:00,""
2022-09-27,Flat Dumbbell Bench Press,Chest,60.0,lbs,22,,,,""
2022-09-27,Flat Dumbbell Bench Press,Chest,80.0,lbs,15,,,,""
2022-09-27,Flat Dumbbell Bench Press,Chest,100.0,lbs,12,,,,""
2022-09-27,Flat Dumbbell Bench Press,Chest,120.0,lbs,8,,,,""
2022-09-27,Flat Dumbbell Bench Press,Chest,130.0,lbs,6,,,,""
2022-09-27,Dumbbell Row,Back,15.0,lbs,20,,,,""
2022-09-27,Dumbbell Row,Back,20.0,lbs,15,,,,""
2022-09-27,Dumbbell Row,Back,25.0,lbs,10,,,,""
2022-09-27,Dumbbell Row,Back,35.0,lbs,10,,,,""
2022-09-27,Dumbbell Row,Back,40.0,lbs,5,,,,""
2022-09-27,Lateral Dumbbell Raise,Shoulders,15.0,lbs,10,,,,""
2022-09-27,Lateral Dumbbell Raise,Shoulders,17.5,lbs,8,,,,""
2022-09-27,Lateral Dumbbell Raise,Shoulders,15.0,lbs,12,,,,""
2022-09-27,Barbell Squat,Legs,45.0,lbs,20,,,,""
2022-09-27,Barbell Squat,Legs,95.0,lbs,15,,,,""
2022-09-27,Barbell Squat,Legs,135.0,lbs,7,,,,""
2022-09-27,Plank,Abs,1.0,lbs,,,,0:01:00,""
2022-09-28,Climbing,Body,,,,1.0,m,2:00:00,""
2022-10-06,Flat Dumbbell Bench Press,Chest,60.0,lbs,20,,,,""
2022-10-06,Flat Dumbbell Bench Press,Chest,80.0,lbs,15,,,,""
2022-10-06,Flat Dumbbell Bench Press,Chest,100.0,lbs,13,,,,""
2022-10-06,Flat Dumbbell Bench Press,Chest,120.0,lbs,9,,,,""
2022-10-06,Flat Dumbbell Bench Press,Chest,130.0,lbs,7,,,,""
2022-10-06,Flat Dumbbell Bench Press,Chest,140.0,lbs,4,,,,""
2022-10-06,Flat Dumbbell Bench Press,Chest,100.0,lbs,10,,,,""
2022-10-06,Flat Dumbbell Bench Press,Chest,80.0,lbs,8,,,,""
2022-10-06,Lat Pulldown,Back,90.0,lbs,10,,,,""
2022-10-06,Lat Pulldown,Back,90.0,lbs,15,,,,""
2022-10-06,Lat Pulldown,Back,100.0,lbs,13,,,,""
2022-10-06,Lat Pulldown,Back,100.0,lbs,11,,,,""
2022-10-06,Lat Pulldown,Back,110.0,lbs,11,,,,""
2022-10-06,Lat Pulldown,Back,120.0,lbs,9,,,,""
2022-10-06,Lat Pulldown,Back,130.0,lbs,7,,,,""
2022-10-06,Pistol Squat,Legs,1.0,lbs,6,,,,""
2022-10-06,Pistol Squat,Legs,1.0,lbs,6,,,,""
2022-10-06,Pistol Squat,Legs,1.0,lbs,6,,,,""
2022-10-06,Toe Touch Abs,Abs,1.0,lbs,20,,,,""
2022-10-06,Toe Touch Abs,Abs,1.0,lbs,10,,,,""
2022-10-06,Toe Touch Abs,Abs,1.0,lbs,10,,,,""
2022-10-07,Climbing,Body,,,,1.0,m,2:00:00,""
2022-10-08,Dumbbell Row,Back,15.0,lbs,21,,,,""
2022-10-08,Dumbbell Row,Back,20.0,lbs,16,,,,""
2022-10-08,Dumbbell Row,Back,25.0,lbs,14,,,,""
2022-10-08,Dumbbell Row,Back,30.0,lbs,12,,,,""
2022-10-08,Dumbbell Row,Back,35.0,lbs,11,,,,""
2022-10-08,Dumbbell Row,Back,40.0,lbs,10,,,,""
2022-10-08,Dumbbell Row,Back,45.0,lbs,7,,,,""
2022-10-08,Dumbbell Row,Back,25.0,lbs,16,,,,""
2022-10-08,Dumbbell Row,Back,25.0,lbs,5,,,,""
2022-10-08,Barbell Squat,Legs,45.0,lbs,21,,,,""
2022-10-08,Barbell Squat,Legs,95.0,lbs,18,,,,""
2022-10-08,Barbell Squat,Legs,115.0,lbs,15,,,,""
2022-10-08,Barbell Squat,Legs,135.0,lbs,13,,,,""
2022-10-08,Barbell Squat,Legs,155.0,lbs,5,,,,""
2022-10-08,Dumbbell Curl,Biceps,25.0,lbs,16,,,,""
2022-10-08,Dumbbell Curl,Biceps,30.0,lbs,11,,,,""
2022-10-10,Climbing,Body,,,,1.0,m,2:00:00,""
2022-10-12,Arnold Dumbbell Press,Shoulders,50.0,lbs,15,,,,""
2022-10-12,Arnold Dumbbell Press,Shoulders,70.0,lbs,10,,,,""
2022-10-12,Arnold Dumbbell Press,Shoulders,80.0,lbs,10,,,,""
2022-10-12,Arnold Dumbbell Press,Shoulders,90.0,lbs,8,,,,""
2022-10-12,Arnold Dumbbell Press,Shoulders,100.0,lbs,5,,,,""
2022-10-12,Arnold Dumbbell Press,Shoulders,70.0,lbs,5,,,,""
2022-10-12,Dumbbell Curl,Biceps,30.0,lbs,15,,,,""
2022-10-12,Dumbbell Curl,Biceps,35.0,lbs,12,,,,""
2022-10-12,Dumbbell Curl,Biceps,40.0,lbs,5,,,,""
2022-10-12,Dumbbell Curl,Biceps,20.0,lbs,12,,,,""
2022-10-12,Tricep Cable Pull Down,Triceps,30.0,lbs,15,,,,""
2022-10-12,Tricep Cable Pull Down,Triceps,40.0,lbs,15,,,,""
2022-10-12,Tricep Cable Pull Down,Triceps,50.0,lbs,15,,,,""
2022-10-12,Tricep Cable Pull Down,Triceps,60.0,lbs,15,,,,""
2022-10-12,Tricep Cable Pull Down,Triceps,70.0,lbs,15,,,,""
2022-10-12,Tricep Cable Pull Down,Triceps,80.0,lbs,15,,,,""
2022-10-12,Tricep Cable Pull Down,Triceps,90.0,lbs,15,,,,""
2022-10-12,Tricep Cable Pull Down,Triceps,100.0,lbs,12,,,,""
2022-10-12,Tricep Cable Pull Down,Triceps,110.0,lbs,8,,,,""
2022-10-12,Tricep Cable Pull Down,Triceps,120.0,lbs,3,,,,""
2022-10-12,Tricep Cable Pull Down,Triceps,80.0,lbs,10,,,,""
2022-10-12,Toe Touch Abs,Abs,1.0,lbs,20,,,,""
2022-10-12,Toe Touch Abs,Abs,1.0,lbs,20,,,,""
2022-10-12,Toe Touch Abs,Abs,1.0,lbs,15,,,,""
2022-10-12,Toe Touch Abs,Abs,1.0,lbs,10,,,,""
2022-10-13,Lat Pulldown,Back,90.0,lbs,20,,,,""
2022-10-13,Lat Pulldown,Back,100.0,lbs,17,,,,""
2022-10-13,Lat Pulldown,Back,110.0,lbs,15,,,,""
2022-10-13,Lat Pulldown,Back,120.0,lbs,12,,,,""
2022-10-13,Lat Pulldown,Back,130.0,lbs,10,,,,""
2022-10-13,Lat Pulldown,Back,140.0,lbs,3,,,,""
2022-10-13,Lat Pulldown,Back,80.0,lbs,10,,,,""
2022-10-16,Flat Dumbbell Bench Press,Chest,60.0,lbs,16,,,,""
2022-10-16,Flat Dumbbell Bench Press,Chest,80.0,lbs,16,,,,""
2022-10-16,Flat Dumbbell Bench Press,Chest,100.0,lbs,15,,,,""
2022-10-16,Flat Dumbbell Bench Press,Chest,120.0,lbs,10,,,,""
2022-10-16,Flat Dumbbell Bench Press,Chest,130.0,lbs,8,,,,""
2022-10-16,Flat Dumbbell Bench Press,Chest,150.0,lbs,2,,,,""
2022-10-16,Flat Dumbbell Bench Press,Chest,120.0,lbs,4,,,,""
2022-10-16,Dumbbell Row,Back,30.0,lbs,15,,,,""
2022-10-16,Dumbbell Row,Back,35.0,lbs,15,,,,""
2022-10-16,Dumbbell Row,Back,40.0,lbs,15,,,,""
2022-10-16,Dumbbell Row,Back,45.0,lbs,14,,,,""
2022-10-16,Dumbbell Row,Back,55.0,lbs,6,,,,""
2022-10-16,Dumbbell Row,Back,55.0,lbs,6,,,,""
2022-10-16,Lateral Dumbbell Raise,Shoulders,15.0,lbs,15,,,,""
2022-10-16,Lateral Dumbbell Raise,Shoulders,17.5,lbs,10,,,,""
2022-10-16,Lateral Dumbbell Raise,Shoulders,20.0,lbs,5,,,,""
2022-10-16,Lateral Dumbbell Raise,Shoulders,20.0,lbs,12,,,,""
2022-10-16,Lateral Dumbbell Raise,Shoulders,17.5,lbs,10,,,,""
2022-10-16,Lateral Dumbbell Raise,Shoulders,10.0,lbs,15,,,,""
2022-10-17,Climbing,Body,,,,1.0,m,2:00:00,""
2022-10-18,Arnold Dumbbell Press,Shoulders,60.0,lbs,15,,,,""
2022-10-18,Arnold Dumbbell Press,Shoulders,80.0,lbs,13,,,,""
2022-10-18,Arnold Dumbbell Press,Shoulders,90.0,lbs,11,,,,""
2022-10-18,Arnold Dumbbell Press,Shoulders,100.0,lbs,8,,,,""
2022-10-18,Arnold Dumbbell Press,Shoulders,110.0,lbs,3,,,,""
2022-10-18,Arnold Dumbbell Press,Shoulders,80.0,lbs,10,,,,""
2022-10-18,Arnold Dumbbell Press,Shoulders,80.0,lbs,10,,,,""
2022-10-18,Barbell Squat,Legs,45.0,lbs,16,,,,""
2022-10-18,Barbell Squat,Legs,95.0,lbs,16,,,,""
2022-10-18,Barbell Squat,Legs,95.0,lbs,6,,,,""
2022-10-18,Tricep Cable Pull Down,Triceps,40.0,lbs,15,,,,""
2022-10-18,Tricep Cable Pull Down,Triceps,100.0,lbs,15,,,,""
2022-10-18,Tricep Cable Pull Down,Triceps,110.0,lbs,15,,,,""
2022-10-18,Tricep Cable Pull Down,Triceps,120.0,lbs,10,,,,""
2022-10-18,Tricep Cable Pull Down,Triceps,130.0,lbs,6,,,,""
2022-10-18,Tricep Cable Pull Down,Triceps,140.0,lbs,3,,,,""
2022-10-18,Tricep Cable Pull Down,Triceps,60.0,lbs,15,,,,""
2022-10-18,Dumbbell Curl,Biceps,30.0,lbs,15,,,,""
2022-10-18,Dumbbell Curl,Biceps,35.0,lbs,6,,,,""
2022-10-18,Dumbbell Curl,Biceps,35.0,lbs,7,,,,""
2022-10-19,Running (Outdoor),Cardio,,,,5.8,mi,0:59:00,""
2022-10-20,Climbing,Body,,,,1.0,m,2:00:00,""
2022-10-21,Lat Pulldown,Back,110.0,lbs,16,,,,""
2022-10-21,Lat Pulldown,Back,120.0,lbs,13,,,,""
2022-10-21,Lat Pulldown,Back,130.0,lbs,11,,,,""
2022-10-21,Lat Pulldown,Back,140.0,lbs,6,,,,""
2022-10-21,Lat Pulldown,Back,150.0,lbs,4,,,,""
2022-10-21,Lat Pulldown,Back,90.0,lbs,15,,,,""
2022-10-21,Flat Dumbbell Bench Press,Chest,60.0,lbs,15,,,,""
2022-10-21,Flat Dumbbell Bench Press,Chest,110.0,lbs,15,,,,""
2022-10-21,Flat Dumbbell Bench Press,Chest,120.0,lbs,12,,,,""
2022-10-21,Flat Dumbbell Bench Press,Chest,140.0,lbs,6,,,,""
2022-10-21,Flat Dumbbell Bench Press,Chest,140.0,lbs,4,,,,""
2022-10-21,Flat Dumbbell Bench Press,Chest,80.0,lbs,15,,,,""
2022-10-24,Arnold Dumbbell Press,Shoulders,70.0,lbs,15,,,,""
2022-10-24,Arnold Dumbbell Press,Shoulders,80.0,lbs,11,,,,""
2022-10-24,Arnold Dumbbell Press,Shoulders,80.0,lbs,14,,,,""
2022-10-24,Arnold Dumbbell Press,Shoulders,90.0,lbs,8,,,,""
2022-10-24,Arnold Dumbbell Press,Shoulders,100.0,lbs,5,,,,""
2022-10-24,Arnold Dumbbell Press,Shoulders,110.0,lbs,2,,,,""
2022-10-24,Arnold Dumbbell Press,Shoulders,90.0,lbs,8,,,,""
2022-10-24,Dumbbell Curl,Biceps,30.0,lbs,15,,,,""
2022-10-24,Dumbbell Curl,Biceps,40.0,lbs,10,,,,""
2022-10-24,Dumbbell Curl,Biceps,35.0,lbs,7,,,,""
2022-10-24,Dumbbell Curl,Biceps,40.0,lbs,5,,,,""
2022-10-24,Push-up,Body,1.0,lbs,20,,,,""
2022-10-24,Push-up,Body,1.0,lbs,20,,,,""
2022-10-24,Push-up,Body,1.0,lbs,20,,,,""
2022-10-25,Lat Pulldown,Back,100.0,lbs,15,,,,""
2022-10-25,Lat Pulldown,Back,120.0,lbs,15,,,,""
2022-10-25,Lat Pulldown,Back,130.0,lbs,9,,,,""
2022-10-25,Tricep Cable Pull Down,Triceps,110.0,lbs,15,,,,""
2022-10-25,Tricep Cable Pull Down,Triceps,120.0,lbs,15,,,,""
2022-10-25,Tricep Cable Pull Down,Triceps,130.0,lbs,8,,,,""
2022-10-25,Dumbbell Row,Back,40.0,lbs,15,,,,""
2022-10-25,Dumbbell Row,Back,45.0,lbs,15,,,,""
2022-10-25,Dumbbell Row,Back,50.0,lbs,11,,,,""
2022-10-25,Bulgarian Split Squat,Legs,1.0,lbs,15,,,,""
2022-10-25,Bulgarian Split Squat,Legs,10.0,lbs,10,,,,""
2022-10-25,Bulgarian Split Squat,Legs,20.0,lbs,10,,,,""
2022-10-25,Flat Dumbbell Bench Press,Chest,110.0,lbs,15,,,,""
2022-10-25,Flat Dumbbell Bench Press,Chest,120.0,lbs,10,,,,""
2022-10-25,Flat Dumbbell Bench Press,Chest,130.0,lbs,8,,,,""
2022-10-28,Arnold Dumbbell Press,Shoulders,70.0,lbs,15,,,,""
2022-10-28,Arnold Dumbbell Press,Shoulders,80.0,lbs,15,,,,""
2022-10-28,Arnold Dumbbell Press,Shoulders,90.0,lbs,12,,,,""
2022-10-28,Arnold Dumbbell Press,Shoulders,120.0,lbs,1,,,,""
2022-10-28,Arnold Dumbbell Press,Shoulders,90.0,lbs,6,,,,""
2022-10-28,Arnold Dumbbell Press,Shoulders,90.0,lbs,6,,,,""
2022-10-28,Arnold Dumbbell Press,Shoulders,60.0,lbs,15,,,,""
2022-10-28,Dumbbell Curl,Biceps,30.0,lbs,15,,,,""
2022-10-28,Dumbbell Curl,Biceps,35.0,lbs,13,,,,""
2022-10-28,Dumbbell Curl,Biceps,40.0,lbs,11,,,,""
2022-10-28,Dumbbell Curl,Biceps,45.0,lbs,1,,,,""
2022-10-28,Dumbbell Curl,Biceps,20.0,lbs,15,,,,""
2022-10-28,Dumbbell Curl,Biceps,25.0,lbs,15,,,,""
2022-10-28,Dumbbell Curl,Biceps,35.0,lbs,5,,,,""
2022-10-28,Chin Up,Back,1.0,lbs,8,,,,""
2022-10-28,Chin Up,Back,1.0,lbs,7,,,,""
2022-10-28,Chin Up,Back,1.0,lbs,6,,,,""
2022-10-28,Chin Up,Back,1.0,lbs,5,,,,""
2022-10-28,Chin Up,Back,1.0,lbs,4,,,,""
2022-10-28,Chin Up,Back,1.0,lbs,3,,,,""
2022-10-28,Chin Up,Back,1.0,lbs,2,,,,""
2022-10-28,Chin Up,Back,1.0,lbs,1,,,,""
2022-10-28,Toe Touch Abs,Abs,1.0,lbs,10,,,,""
2022-10-28,Toe Touch Abs,Abs,1.0,lbs,10,,,,""
2022-10-28,Plank,Abs,1.0,lbs,,,,0:01:00,""
2022-10-28,Plank,Abs,1.0,lbs,,,,0:01:00,""
2022-10-29,Flat Dumbbell Bench Press,Chest,110.0,lbs,15,,,,""
2022-10-29,Flat Dumbbell Bench Press,Chest,120.0,lbs,13,,,,""
2022-10-29,Flat Dumbbell Bench Press,Chest,130.0,lbs,9,,,,""
2022-10-29,Flat Dumbbell Bench Press,Chest,140.0,lbs,5,,,,""
2022-10-29,Flat Dumbbell Bench Press,Chest,150.0,lbs,2,,,,""
2022-10-29,Flat Dumbbell Bench Press,Chest,110.0,lbs,5,,,,""
2022-10-29,Tricep Cable Pull Down,Triceps,60.0,lbs,15,,,,""
2022-10-29,Tricep Cable Pull Down,Triceps,120.0,lbs,15,,,,""
2022-10-29,Tricep Cable Pull Down,Triceps,130.0,lbs,6,,,,""
2022-10-29,Tricep Cable Pull Down,Triceps,120.0,lbs,8,,,,""
2022-10-29,Tricep Cable Pull Down,Triceps,110.0,lbs,10,,,,""
2022-10-29,Tricep Cable Pull Down,Triceps,100.0,lbs,10,,,,""
2022-10-29,Bulgarian Split Squat,Legs,1.0,lbs,15,,,,""
2022-10-29,Bulgarian Split Squat,Legs,10.0,lbs,10,,,,""
2022-10-29,Bulgarian Split Squat,Legs,30.0,lbs,10,,,,""
2022-10-29,Climbing,Body,,,,1.0,m,2:00:00,""
2022-10-30,Running (Outdoor),Cardio,,,,5.22,mi,0:49:00,""
2022-11-01,Arnold Dumbbell Press,Shoulders,80.0,lbs,15,,,,""
2022-11-01,Arnold Dumbbell Press,Shoulders,90.0,lbs,12,,,,""
2022-11-01,Arnold Dumbbell Press,Shoulders,110.0,lbs,4,,,,""
2022-11-01,Arnold Dumbbell Press,Shoulders,80.0,lbs,10,,,,""
2022-11-01,Arnold Dumbbell Press,Shoulders,80.0,lbs,10,,,,""
2022-11-01,Barbell Squat,Legs,45.0,lbs,15,,,,""
2022-11-01,Barbell Squat,Legs,95.0,lbs,15,,,,""
2022-11-01,Barbell Squat,Legs,115.0,lbs,15,,,,""
2022-11-01,Barbell Squat,Legs,135.0,lbs,10,,,,""
2022-11-01,Barbell Squat,Legs,155.0,lbs,5,,,,""
2022-11-01,Lat Pulldown,Back,120.0,lbs,10,,,,""
2022-11-01,Lat Pulldown,Back,130.0,lbs,10,,,,""
2022-11-01,Lat Pulldown,Back,140.0,lbs,10,,,,""
2022-11-02,Flat Dumbbell Bench Press,Chest,50.0,lbs,20,,,,""
2022-11-02,Flat Dumbbell Bench Press,Chest,120.0,lbs,15,,,,""
2022-11-02,Flat Dumbbell Bench Press,Chest,130.0,lbs,10,,,,""
2022-11-02,Flat Dumbbell Bench Press,Chest,140.0,lbs,7,,,,""
2022-11-02,Flat Dumbbell Bench Press,Chest,120.0,lbs,4,,,,""
2022-11-02,Tricep Cable Pull Down,Triceps,60.0,lbs,15,,,,""
2022-11-02,Tricep Cable Pull Down,Triceps,120.0,lbs,5,,,,""
2022-11-02,Tricep Cable Pull Down,Triceps,80.0,lbs,15,,,,""
2022-11-02,Tricep Cable Pull Down,Triceps,90.0,lbs,15,,,,""
2022-11-02,Tricep Cable Pull Down,Triceps,100.0,lbs,12,,,,""
2022-11-02,Dumbbell Row,Back,25.0,lbs,15,,,,""
2022-11-02,Dumbbell Row,Back,45.0,lbs,15,,,,""
2022-11-02,Dumbbell Row,Back,50.0,lbs,14,,,,""
2022-11-02,Dumbbell Row,Back,55.0,lbs,8,,,,""
2022-11-02,Dumbbell Row,Back,30.0,lbs,15,,,,""
2022-11-02,Dumbbell Shrug,Shoulders,100.0,lbs,5,,,,""
2022-11-04,Dumbbell Curl,Biceps,30.0,lbs,15,,,,""
2022-11-04,Dumbbell Curl,Biceps,35.0,lbs,15,,,,""
2022-11-04,Dumbbell Curl,Biceps,45.0,lbs,4,,,,""
2022-11-04,Dumbbell Curl,Biceps,35.0,lbs,10,,,,""
2022-11-04,Dumbbell Curl,Biceps,35.0,lbs,10,,,,""
2022-11-04,Barbell Squat,Legs,45.0,lbs,5,,,,""
2022-11-04,Barbell Squat,Legs,115.0,lbs,15,,,,""
2022-11-04,Barbell Squat,Legs,135.0,lbs,15,,,,""
2022-11-04,Barbell Squat,Legs,155.0,lbs,10,,,,""
2022-11-04,Barbell Squat,Legs,45.0,lbs,15,,,,""
2022-11-06,Arnold Dumbbell Press,Shoulders,40.0,lbs,15,,,,""
2022-11-06,Arnold Dumbbell Press,Shoulders,80.0,lbs,15,,,,""
2022-11-06,Arnold Dumbbell Press,Shoulders,100.0,lbs,10,,,,""
2022-11-06,Arnold Dumbbell Press,Shoulders,110.0,lbs,5,,,,""
2022-11-06,Tricep Cable Pull Down,Triceps,60.0,lbs,15,,,,""
2022-11-06,Tricep Cable Pull Down,Triceps,120.0,lbs,15,,,,""
2022-11-06,Tricep Cable Pull Down,Triceps,130.0,lbs,10,,,,""
2022-11-06,Tricep Cable Pull Down,Triceps,140.0,lbs,5,,,,""
2022-11-06,Tricep Cable Pull Down,Triceps,150.0,lbs,1,,,,""
2022-11-06,Chin Up,Back,1.0,lbs,5,,,,""
2022-11-06,Barbell Squat,Legs,65.0,lbs,15,,,,""
2022-11-06,Barbell Squat,Legs,135.0,lbs,15,,,,""
2022-11-06,Barbell Squat,Legs,155.0,lbs,11,,,,""
2022-11-06,Barbell Squat,Legs,175.0,lbs,5,,,,""
2022-11-06,Dumbbell Curl,Biceps,17.5,lbs,15,,,,""
2022-11-06,Dumbbell Curl,Biceps,35.0,lbs,10,,,,""
2022-11-06,Dumbbell Curl,Biceps,30.0,lbs,10,,,,""
2022-11-06,Dumbbell Curl,Biceps,25.0,lbs,15,,,,""
2022-11-06,Dumbbell Curl,Biceps,30.0,lbs,10,,,,""
2022-11-06,Dumbbell Curl,Biceps,35.0,lbs,10,,,,""
2022-11-06,Dumbbell Curl,Biceps,40.0,lbs,5,,,,""
2022-11-12,Push-up,Body,1.0,lbs,20,,,,""
2022-11-12,Push-up,Body,1.0,lbs,20,,,,""
2022-11-12,Pistol Squat,Legs,1.0,lbs,5,,,,""
2022-11-12,Pistol Squat,Legs,1.0,lbs,6,,,,""
2022-11-12,Push-up,Body,1.0,lbs,30,,,,""
2022-11-12,Pistol Squat,Legs,1.0,lbs,10,,,,""
2022-11-12,Push-up,Body,1.0,lbs,30,,,,""
2022-11-25,Push-up,Body,1.0,lbs,20,,,,""
2022-11-25,Push-up,Body,1.0,lbs,20,,,,""
2022-11-25,Push-up,Body,1.0,lbs,30,,,,""
